CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DFP;144874;2025-02-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144874
00.001.180/0001-26;2024-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DFP;145385;2025-03-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145385
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DFP;145424;2025-03-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145424
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DFP;145662;2025-03-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145662
00.194.724/0001-13;2024-12-31;1;AUREN OPERAÇÕES S.A.;026174;DFP;144976;2025-02-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=144976
00.242.184/0001-04;2024-12-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;DFP;145719;2025-03-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145719
00.336.701/0001-04;2024-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;DFP;145607;2025-03-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145607
00.357.038/0001-16;2024-12-31;1;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;027472;DFP;145628;2025-03-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145628
00.357.038/0001-16;2024-12-31;2;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;027472;DFP;145708;2025-03-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145708
00.359.742/0001-08;2024-12-31;1;FICTOR ALIMENTOS S.A.;015423;DFP;145942;2025-03-28;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=145942
